"Year","Perpetrator.Age","Relationship","Weapon","Perpetrator.Sex"
2014,17,"Stepfather","Firearm","Male"
2014,34,"Stranger","Handgun","Male"
2014,17,"Friend","Firearm","Male"
2014,50,"Acquaintance","Blunt Object","Male"
2014,25,"Daughter","Blunt Object","Male"
2014,33,"Stranger","Firearm","Male"
2014,25,"Stranger","Handgun","Male"
2014,22,"Stranger","Handgun","Male"
2014,53,"Stranger","Handgun","Male"
2014,33,"Acquaintance","Firearm","Male"
2014,27,"Girlfriend","Firearm","Male"
2014,28,"Family","Blunt Object","Female"
2014,37,"Wife","Knife","Male"
2014,28,"Son","Blunt Object","Female"
2014,19,"Stranger","Firearm","Male"
2014,15,"Stranger","Knife","Male"
2014,16,"Stranger","Blunt Object","Male"
2014,41,"Stranger","Knife","Male"
2014,41,"Stranger","Knife","Male"
2014,58,"Wife","Handgun","Male"
2014,20,"Stranger","Knife","Male"
2014,35,"Friend","Drugs","Male"
2014,30,"Daughter","Knife","Female"
2014,30,"Daughter","Knife","Female"
2014,27,"Stranger","Handgun","Male"
2014,46,"Son","Blunt Object","Male"
2014,55,"Stranger","Knife","Male"
2014,33,"Stranger","Handgun","Male"
2014,30,"Stranger","Handgun","Male"
2014,30,"Daughter","Knife","Female"
2014,21,"Stranger","Handgun","Male"
2014,56,"Stranger","Blunt Object","Male"
2014,35,"Stranger","Knife","Male"
2014,38,"Stranger","Handgun","Male"
2014,41,"Stranger","Blunt Object","Male"
2014,19,"Family","Knife","Male"
2014,48,"Father","Knife","Female"
2014,29,"Stranger","Knife","Female"
2014,46,"Husband","Knife","Female"
2014,39,"Son","Knife","Male"
2014,44,"Stranger","Handgun","Male"
2014,23,"Family","Knife","Male"
2014,22,"Stranger","Handgun","Male"
2014,27,"Stranger","Handgun","Male"
2014,46,"Son","Blunt Object","Male"
2014,30,"Stranger","Blunt Object","Male"
2014,68,"In-Law","Knife","Male"
2014,37,"Stranger","Handgun","Male"
2014,43,"Husband","Handgun","Female"
2014,40,"Mother","Strangulation","Male"
2014,17,"Neighbor","Handgun","Male"
2014,43,"Stranger","Handgun","Male"
2014,44,"Brother","Handgun","Male"
2014,30,"Stranger","Handgun","Male"
2014,22,"Family","Blunt Object","Male"
2014,36,"Boyfriend/Girlfriend","Knife","Male"
2014,36,"Stranger","Handgun","Male"
2014,23,"Stranger","Knife","Male"
2014,36,"Stranger","Handgun","Male"
2014,28,"Stranger","Blunt Object","Male"
2014,34,"Mother","Blunt Object","Male"
2014,22,"Stranger","Handgun","Male"
2014,46,"Stranger","Firearm","Male"
2014,24,"Stranger","Knife","Male"
2014,45,"Stranger","Handgun","Male"
2014,28,"Stranger","Knife","Male"
2014,45,"Stranger","Handgun","Male"
2014,24,"Stranger","Handgun","Male"
2014,22,"Girlfriend","Handgun","Male"
2014,32,"Mother","Blunt Object","Female"
2014,28,"Stranger","Knife","Female"
2014,47,"Wife","Handgun","Male"
2014,29,"Family","Knife","Male"
2014,52,"Acquaintance","Knife","Male"
2014,35,"Stranger","Handgun","Male"
2014,27,"Daughter","Drugs","Female"
2014,80,"Acquaintance","Handgun","Male"
2014,68,"Stranger","Handgun","Male"
2014,23,"Stepfather","Blunt Object","Female"
2014,16,"Stranger","Knife","Male"
2014,30,"Stranger","Handgun","Male"
2014,46,"Stranger","Handgun","Male"
2014,31,"Stranger","Firearm","Male"
2014,22,"Acquaintance","Handgun","Male"
2014,32,"Girlfriend","Firearm","Male"
2014,36,"Girlfriend","Blunt Object","Male"
2014,26,"Neighbor","Firearm","Male"
2014,40,"Wife","Blunt Object","Male"
2014,45,"Stranger","Rifle","Male"
2014,36,"Stranger","Handgun","Male"
2014,34,"Stranger","Knife","Male"
2014,40,"Acquaintance","Blunt Object","Male"
2014,21,"Acquaintance","Firearm","Male"
2014,19,"Stranger","Firearm","Male"
2014,31,"Stranger","Handgun","Male"
2014,31,"Stranger","Firearm","Male"
2014,53,"Family","Blunt Object","Female"
2014,33,"Stranger","Strangulation","Male"
2014,48,"Common-Law Wife","Knife","Male"
2014,35,"Acquaintance","Handgun","Male"
2014,19,"Stranger","Knife","Male"
2014,27,"Mother","Knife","Male"
2014,47,"Stranger","Handgun","Male"
2014,45,"Stranger","Handgun","Male"
2014,44,"Stranger","Handgun","Female"
2014,39,"Son","Blunt Object","Male"
2014,37,"Stranger","Handgun","Male"
2014,23,"Son","Blunt Object","Male"
2014,31,"Employer","Handgun","Male"
2014,31,"Son","Blunt Object","Male"
2014,28,"Son","Suffocation","Male"
2014,25,"Stranger","Handgun","Male"
2014,39,"Stranger","Handgun","Male"
2014,28,"Stranger","Firearm","Male"
2014,55,"Acquaintance","Firearm","Male"
2014,36,"Stranger","Handgun","Male"
2014,30,"Acquaintance","Handgun","Male"
2014,40,"Wife","Handgun","Male"
2014,39,"Stranger","Handgun","Male"
2014,33,"Stranger","Handgun","Female"
2014,51,"Stranger","Handgun","Male"
2014,63,"Stranger","Handgun","Male"
2014,27,"Acquaintance","Blunt Object","Male"
2014,39,"Stranger","Handgun","Male"
2014,38,"Stranger","Handgun","Male"
2014,53,"Acquaintance","Blunt Object","Male"
2014,21,"Acquaintance","Blunt Object","Male"
2014,20,"Stranger","Firearm","Male"
2014,22,"Stranger","Handgun","Male"
2014,73,"Wife","Handgun","Male"
2014,51,"Wife","Handgun","Male"
2014,51,"Common-Law Wife","Knife","Male"
2014,44,"Acquaintance","Blunt Object","Male"
2014,31,"Common-Law Wife","Knife","Male"
2014,45,"Stranger","Handgun","Male"
2014,20,"Stranger","Handgun","Male"
2014,34,"Stranger","Knife","Male"
2014,36,"Brother","Handgun","Male"
2014,30,"Stranger","Knife","Male"
2014,30,"Stranger","Firearm","Male"
2014,28,"Neighbor","Handgun","Male"
2014,27,"Stranger","Handgun","Male"
2014,22,"Acquaintance","Rifle","Male"
2014,30,"Stranger","Blunt Object","Male"
2014,26,"Acquaintance","Handgun","Male"
2014,16,"Stranger","Firearm","Male"
2014,16,"Stranger","Handgun","Male"
2014,27,"Acquaintance","Handgun","Male"
2014,53,"Stranger","Handgun","Male"
2014,41,"Stranger","Firearm","Male"
2014,21,"Stranger","Handgun","Male"
2014,34,"Stranger","Shotgun","Male"
2014,34,"Stranger","Shotgun","Male"
2014,45,"Common-Law Wife","Shotgun","Male"
2014,59,"Wife","Handgun","Male"
2014,34,"Stranger","Shotgun","Male"
2014,28,"Mother","Blunt Object","Male"
2014,24,"Common-Law Husband","Handgun","Female"
2014,20,"Acquaintance","Firearm","Male"
2014,18,"Stranger","Handgun","Male"
2014,37,"Acquaintance","Handgun","Male"
2014,38,"Stranger","Handgun","Male"
2014,23,"Acquaintance","Blunt Object","Male"
2014,19,"Stranger","Handgun","Male"
2014,18,"Stranger","Handgun","Female"
2014,20,"Girlfriend","Knife","Male"
2014,21,"Neighbor","Blunt Object","Male"
2014,28,"Stranger","Knife","Male"
2014,34,"Stranger","Handgun","Male"
2014,31,"Stranger","Handgun","Male"
2014,45,"Stranger","Handgun","Male"
